Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,6172.506,6256.472,6327.151,6725.078,6988.092,6595.207,7117.301,7393.585,7413.917,7077.093,7094.54,7996.308,8899.403,9537.834,10178.731,9972.801,10589.852,11512.478,11955.652,11587.124,11633.001,11256.706,10089.08,11104.743,12303.2,13681.186,15090.274,16728.497,17567.283,16472.344,18063.91,19322.227,19641.353,20131.68,19683.772,20105.199,20307.87,23597.118,23294.136,23007.794,20792.517,23816.966,26483.657
Bolivia,2069.783,2099.042,2097.179,2048.454,2074.817,2061.505,2006.989,2064.206,2154.202,2276.016,2420.132,2579.895,2627.291,2726.46,2833.679,2969.267,3093.878,3238.761,3373.338,3369.787,3428.929,3498.81,3575.072,3677.238,3864.14,4089.387,4342.517,4585.306,4878.831,4992.663,5177.257,5472.555,5937.484,6645.213,7080.98,7160.045,7528.313,8456.073,8897.439,9128.648,8323.609,9095.593,9936.476
Brazil,4709.103,4820.089,5037.367,4949.265,5287.265,5764.756,6198.865,6455.543,6578.588,6931.985,6842.07,7124.478,7135.429,7524.195,7968.338,8364.062,8457.128,8757.587,8749.732,8816.516,9327.978,9536.623,9852.93,10037.816,10772.372,11334.181,12012.341,12949.022,13726.466,13638.461,14672.825,15491.011,15555.589,16168.598,16352.308,15379.878,14915.416,15242.72,15805.865,16205.968,15805.91,17250.389,18896.72
Chile,3463.729,3961.161,3575.997,3554.763,3839.091,3976.498,4208.699,4517.642,4933.043,5575.968,5899.027,6455.35,7171.407,7701.896,8136.73,8917.676,9400.488,10132.036,10537.459,10524.947,11165.247,11642.782,12069.462,12754.657,13827.155,14942.692,16171.422,17286.998,18089.211,17806.112,18870.221,20235.571,21458.814,22295.742,22650.715,22553.106,22658.674,23671.478,24761.202,24919.764,23266.095,26860.916,29220.921
Colombia,2847.7,3118.625,3270.95,3379.564,3543.672,3794.992,4013.608,4244.788,4479.261,4716.004,5000.164,5184.172,5424.651,5760.381,6076.446,6417.446,6562.468,6815.177,6825.067,6546.762,6788.985,6968.834,7164.27,7497.591,8010.093,8523.854,9266.299,10041.628,10453.73,10524.821,11009.496,11893.032,12305.545,13024.859,13627.067,13611.472,14351.727,14763.881,15236.886,15635.986,14406.402,16490.174,18720.434
Ecuador,3243.319,3585.704,3746.611,3681.382,3868.73,4058.328,4159.707,3908.637,4357.211,4431.526,4626.26,4913.646,5092.186,5203.874,5429.422,5561.569,5663.538,5916.163,6086.128,5794.125,5902.033,6138.571,6351.353,6540.153,7142.574,7660.58,8101.054,8352.44,8892.436,8837.941,9090.63,9842.963,10280.264,11106.117,11657.901,11014.886,11009.159,11623.715,11882.109,11925.355,10985.788,11799.617,12818.231
Guyana,2468.501,2711.747,2625.151,2421.451,2574.708,2682.382,2751.325,2841.545,2790.769,2790.985,2831.683,3112.505,3429.448,3789.161,4180.924,4459.694,4882.496,5245.114,5192.387,5400.772,5434.136,5673.273,5828.364,5909.178,6165.956,6233.012,6741.1,7389.447,7659.48,7932.573,8356.558,8958.292,10443.668,10998.334,10942.789,11204.623,11268.43,11964.644,12725,13605.78,19717.131,24661.74,42698.594
Paraguay,3532.89,4099.003,4166.668,4076.023,4215.827,4386.16,4348.264,4494.67,4775.302,5089.742,5497.761,5523.774,5630.589,5927.596,6248.646,6678.64,6769.805,7035.122,6976.767,6838.854,6695.307,6662.316,6641.848,6940.461,7287.516,7546.383,8017.866,8539.554,9120.458,9011.021,9974.114,10455.239,9957.426,10980.329,11355.137,11372.589,11907.055,12433.769,12955.613,12951.864,12833.953,13758.699,14534.637
Peru,3111.593,3503.859,3619.302,3330.024,3498.813,3601.434,4026.499,4346.93,3987.866,3512.652,3388.929,3510.4,3502.165,3702.397,4169.403,4491.228,4620.047,4919.287,4873.623,4936.534,5105.599,5176.543,5466.649,5728.701,6094.013,6595.934,7222.849,7956.542,8748.726,8802.017,9542.166,10239.8,10565.477,11115.112,11357.172,11463.973,12030.21,12635.128,13311.912,13436.493,12000.945,14073.337,15310.07
Suriname,-,-,-,-,-,-,-,-,-,-,6984.243,6132.323,6439.982,6352.804,5963.024,6676.672,7470.818,8012.677,8182.739,8103.356,8179.976,8646.568,9001.501,9650.698,10444.035,11171.842,12042.703,12853.172,13456.334,13762.454,14453.214,15363.359,16889.574,17908.844,18301.191,16962.525,14777.806,17879.62,18997.316,19292.061,16311.234,16379.928,17497.576
Uruguay,5049.969,5594.257,5347.438,5198.14,5273.518,5422.034,5912.655,6381.13,6599.883,6896.097,7136.017,7594.251,8333.389,8705.371,9449.3,9448.722,10095.726,10710.498,11231.105,11089.74,11077.146,10883.704,10213.359,10524.842,11337.938,12524.843,13417.882,14678.499,16013.193,16724.985,18146.783,19389.116,19572.263,20562.682,21583.608,21706.662,22186.794,22909.415,23411.2,23922.725,22637.57,24817.431,27769.764
Venezuela,7947.413,8332.046,8818.81,8034.167,8519.784,8624.837,9221.621,9660.912,10392.473,9074.979,9699.678,10744.449,11387.292,11426.533,11145.897,11574.827,11515.738,12208.997,12139.928,11348.984,11638.601,12101.976,11020.349,10200.466,12194.137,13658.037,15231.41,16753.767,17706.212,16992.963,16692.632,17493.729,18553.419,18861.611,18209.227,17014.178,14212.889,12322.101,10677.929,8168.866,5765.535,6165.179,7301.883